"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.989667542E0,-1.829196167E0,-4.022734680E0,-3.674259338E0
3.999708542E0,-1.900298309E0,-3.695066071E0,-3.991449738E0
4.009748542E0,-1.877545624E0,-3.715423737E0,-4.477489014E0
4.019789542E0,-1.634750519E0,-4.078867950E0,-4.960534515E0
4.029829542E0,-1.174607391E0,-4.943020935E0,-5.523064728E0
4.039870542E0,-5.373825073E-1,-6.731801147E0,-6.551725616E0
4.049911542E0,4.086502075E-2,-9.742041321E0,-8.285270691E0
4.059951542E0,3.917353821E-1,-1.361224319E1,-1.109193420E1
4.069992542E0,6.018983459E-1,-1.795875458E1,-1.385548737E1
4.080032542E0,5.870791626E-1,-2.226589783E1,-1.428748901E1
4.090073542E0,4.348457336E-1,-2.310295715E1,-1.146615601E1
4.100114542E0,1.032852173E-1,-1.914728302E1,-8.345295868E0
4.110154542E0,-2.546205139E-1,-1.498309250E1,-8.479267273E0
4.120195542E0,-3.043171692E-1,-1.179217804E1,-1.062385757E1
4.130235542E0,-6.845265198E-1,-8.991801453E0,-8.192463684E0
4.140276542E0,-2.525548096E0,-5.885610809E0,-1.160237274E0
4.150317542E0,-5.363197174E0,-5.438490601E0,6.378236389E0
4.160357542E0,-8.204289093E0,-9.594597931E0,6.532415771E0
4.170398542E0,-9.441466370E0,-1.397823212E1,3.447630615E0
4.180438542E0,-7.458539886E0,-1.554682022E1,-8.951385498E-2
4.190479542E0,-2.535876617E0,-1.338800949E1,-4.818629608E0
4.200519542E0,2.311044159E0,-9.334888000E0,-5.981261902E0
4.210560542E0,4.411775665E0,-5.742658081E0,-2.102527771E0
4.220601542E0,3.100951538E0,-3.995191956E0,1.686243439E0
4.230641542E0,-1.646575928E-3,-3.825444946E0,3.124452667E0
4.240682542E0,-2.374661865E0,-4.420457611E0,2.754272461E0
4.250722542E0,-3.495381317E0,-5.595065002E0,1.491498413E0
4.260763542E0,-3.887715454E0,-7.091054077E0,4.087998962E-1
4.270804542E0,-3.808530121E0,-8.446036377E0,-1.307231598E0
4.280844542E0,-3.075803833E0,-9.584868164E0,-1.448088684E0
4.290885542E0,-1.987267456E0,-1.100346817E1,4.550537109E-2
4.300925542E0,-1.012793884E0,-1.222163498E1,9.110055542E-1
4.310966542E0,-1.592687988E-1,-1.276066406E1,8.900491333E-1
4.321007542E0,3.279679871E-1,-1.243344452E1,7.288343811E-1
4.331047542E0,3.561094666E-1,-1.133996841E1,1.168320465E0
4.341088542E0,-1.799258423E-1,-1.007914032E1,1.793869629E0
4.351128542E0,-7.981402588E-1,-8.690028992E0,2.074835358E0
4.361169542E0,-9.970765686E-1,-7.370672607E0,2.032922516E0
4.371210542E0,-7.792794800E-1,-6.589596863E0,1.852098541E0
4.381250542E0,-3.625460815E-1,-6.576723633E0,2.111060028E0
4.391291542E0,1.053808594E-1,-7.233108673E0,1.889071655E0
4.401331542E0,4.221221924E-1,-8.201445007E0,1.891466675E0
4.411372542E0,4.403842163E-1,-9.242679749E0,1.454525299E0
4.421412542E0,3.983216858E-1,-1.004261627E1,1.406475220E0
4.431453542E0,1.981878662E-1,-1.028630951E1,1.281634827E0
4.441494542E0,5.059478760E-2,-9.832453308E0,8.625064087E-1
4.451534542E0,-1.040336609E-1,-9.171727295E0,5.122348022E-1
4.461575542E0,-2.453398132E-1,-8.455915833E0,5.459147644E-1
4.471615542E0,-3.553610229E-1,-8.302784271E0,2.957849121E-1
4.481656542E0,-6.321354675E-1,-8.584498444E0,-1.440005493E-1
4.491697542E0,-1.099014587E0,-9.026828613E0,-4.998106384E-1
4.501737542E0,-1.536255341E0,-9.474547577E0,-6.604266357E-1
4.511778542E0,-1.974843292E0,-9.767638092E0,-4.252656555E-1
4.521818542E0,-2.265389099E0,-9.722881165E0,3.071612549E-1
4.531859542E0,-2.304158478E0,-9.197024689E0,1.235680389E0
4.541900542E0,-2.373314667E0,-8.872050476E0,1.949396210E0
4.551940542E0,-2.290985870E0,-8.724756775E0,1.939816132E0
4.561981542E0,-1.841171265E0,-9.066795502E0,1.442550201E0
4.572021542E0,-1.024319916E0,-9.647887115E0,4.776567078E-1
4.582062542E0,-2.267784119E-1,-1.033615585E1,-2.646496582E-1
4.592103542E0,3.728746033E-1,-1.072100555E1,-1.004111938E0
4.602143542E0,7.053332520E-1,-1.108549759E1,-1.355730743E0
4.612184542E0,8.015830994E-1,-1.162811920E1,-1.625619507E0
4.622224542E0,5.983058167E-1,-1.241308685E1,-1.770518188E0
4.632265542E0,2.028282166E-1,-1.315030380E1,-1.332528992E0
4.642306167E0,1.511856079E-2,-1.323712326E1,-7.620652771E-1
4.652346167E0,4.784051514E-1,-1.270453079E1,-4.276606750E-1
4.662387167E0,1.401834869E0,-1.220382202E1,-2.409988403E-1
4.672427167E0,1.953138428E0,-1.188199127E1,-5.284011841E-2
4.682468167E0,1.822160797E0,-1.223046661E1,1.002914429E-2
4.692509167E0,1.605561218E0,-1.292352539E1,-2.621049500E-1
4.702549167E0,1.697170715E0,-1.367421432E1,-8.002359009E-1
4.712590167E0,1.606010284E0,-1.505269775E1,-1.629361725E0
4.722630167E0,8.906478882E-1,-1.640962601E1,-2.684218140E0
4.732671167E0,1.836680603E-1,-1.575743225E1,-3.155288544E0
4.742712167E0,-1.082249451E-1,-1.403750885E1,-1.441203003E0
4.752752167E0,-5.837860107E-1,-1.282398239E1,1.566342773E0
4.762793167E0,-1.097218323E0,-1.186582489E1,4.228856049E0
4.772833167E0,-1.443747711E0,-1.104597977E1,5.159620514E0
4.782874167E0,-1.981579285E0,-1.022284149E1,3.752097473E0
4.792915167E0,-2.029329987E0,-9.676477661E0,2.459535370E0
4.802955167E0,-1.800904999E0,-1.075064392E1,2.070943451E0
4.812996167E0,-2.563718719E0,-1.303639069E1,3.466790771E-1
4.823036167E0,-4.262236633E0,-1.522364227E1,-5.207670593E-1
4.833077167E0,-5.036277008E0,-1.608764557E1,-9.550140381E-2
4.843118167E0,-4.043990479E0,-1.607013199E1,-3.119512939E-1
4.853158167E0,-1.883084106E0,-1.601265152E1,4.314028931E-1
4.863199167E0,5.773493958E-1,-1.568543198E1,4.969665527E-2
4.873239167E0,1.827848969E0,-1.419707703E1,2.588117981E-1
4.883280167E0,2.118245087E0,-1.184771255E1,1.578916626E0
4.893321167E0,1.721120911E0,-9.200916595E0,2.025438080E0
4.903361167E0,9.391470337E-1,-7.455995178E0,2.244732056E0
4.913402167E0,6.406677246E-2,-7.159761200E0,1.804497528E0
4.923442167E0,-8.687933350E-1,-7.597001953E0,9.873468018E-1
4.933483167E0,-1.716031494E0,-7.868537292E0,3.787124634E-1
4.943523167E0,-2.549498291E0,-7.514373779E0,-2.059716797E-1
4.953564167E0,-3.148552551E0,-6.749464417E0,-2.817141724E-1
4.963605167E0,-3.617677002E0,-6.068829803E0,-3.516188049E-1
4.973645167E0,-3.841910706E0,-5.808371429E0,-3.896397400E-1
4.983686167E0,-3.806584167E0,-5.795198822E0,-3.704795837E-1
4.993726167E0,-3.475622406E0,-5.789211273E0,-6.858737183E-1
5.003767167E0,-3.014281769E0,-5.684429169E0,-9.854008484E-1
5.013808167E0,-2.582130432E0,-5.535039825E0,-1.240171051E0
5.023848167E0,-2.257156219E0,-5.549409943E0,-1.398392029E0
5.033889167E0,-2.230661316E0,-5.850134583E0,-1.678010559E0
5.043930167E0,-2.146236877E0,-5.253175964E0,-1.344803467E0
5.053970167E0,-2.038460999E0,-4.593497772E0,-9.759704590E-1
5.064011167E0,-2.084265747E0,-4.473297729E0,-7.632627869E-1
5.074051167E0,-2.030078430E0,-4.439617767E0,-4.026626587E-2
5.084092167E0,-1.798959045E0,-4.391417999E0,1.850152588E-1
5.094133167E0,-1.472787323E0,-4.093986511E0,-2.891986084E-1
5.104173167E0,-1.216520233E0,-3.676654358E0,-1.119821320E0
5.114214167E0,-9.238787842E-1,-3.196303253E0,-1.743873596E0
5.124254167E0,-5.767506409E-1,-2.351011047E0,-2.389181671E0
